Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
204.560440	392265.104507	112106.560447	338.287804	35.060280	220.800229	20.674591	43885860.585176	2599522.446118	219803.222284	143535.258563	18625114.048308	1998652.774261	26225567.512477	1331487.777796	
205.563187	392262.930435	112106.232454	314.966192	32.772428	206.711879	19.501301	43885899.949278	2599525.730884	219803.442216	143535.762933	18625114.048308	1998652.774261	26225570.014542	1331490.286174	
206.565934	392260.906964	112105.927025	293.303468	30.636416	193.528224	18.394457	43885936.614805	2599528.808426	219803.646538	143536.233676	18625114.048308	1998652.774261	26225572.343442	1331492.620849	
207.568681	392259.024054	112105.642665	273.186633	28.642498	181.192992	17.350383	43885970.760008	2599531.691496	219803.836314	143536.672958	18625114.048308	1998652.774261	26225574.510712	1331494.793397	
208.571429	392257.271875	112105.377909	254.504680	26.781181	169.651698	16.365531	43886002.559164	2599534.392484	219804.012583	143537.082894	18625114.048308	1998652.774261	26225576.527647	1331496.815152	
209.574176	392255.640805	112105.131327	237.148603	25.043233	158.851642	15.436485	43886032.182579	2599536.923417	219804.176371	143537.465538	18625114.048308	1998652.774261	26225578.405299	1331498.697207	
210.576923	392254.121432	112104.901516	221.011389	23.419677	148.741912	14.559954	43886059.796587	2599539.295961	219804.328681	143537.822892	18625114.048308	1998652.774261	26225580.154483	1331500.450415	
211.579670	392252.704549	112104.687111	205.988023	21.901790	139.273380	13.732780	43886085.563549	2599541.521418	219804.470498	143538.156901	18625114.048308	1998652.774261	26225581.785771	1331502.085388	
212.582418	392251.381163	112104.486774	191.975486	20.481111	130.398708	12.951933	43886109.641854	2599543.610728	219804.602790	143538.469455	18625114.048308	1998652.774261	26225583.309494	1331503.612495	
213.585165	392250.142485	112104.299202	178.872755	19.149431	122.072340	12.214511	43886132.185917	2599545.574469	219804.726502	143538.762387	18625114.048308	1998652.774261	26225584.735744	1331505.041867	
214.587912	392248.980896	112104.123261	166.593135	17.899492	114.253188	11.517829	43886153.330332	2599547.422102	219804.842449	143539.037316	18625114.048308	1998652.774261	26225586.073274	1331506.382290	
215.590659	392247.894605	112103.958666	155.123493	16.728469	106.918990	10.859935	43886173.112152	2599549.158089	219804.950760	143539.294841	18625114.048308	1998652.774261	26225587.324160	1331507.635838	
216.593407	392246.880154	112103.804893	144.427680	15.632571	100.045557	10.238956	43886191.594834	2599550.787786	219805.051775	143539.535794	18625114.048308	1998652.774261	26225588.492385	1331508.806503	
217.596154	392245.933618	112103.661352	134.463237	14.607723	93.607977	9.653036	43886208.849272	2599552.316814	219805.145896	143539.761075	18625114.048308	1998652.774261	26225589.582461	1331509.898812	
218.598901	392245.051150	112103.527465	125.188432	13.649944	87.581993	9.100373	43886224.944911	2599553.750655	219805.233515	143539.971563	18625114.048308	1998652.774261	26225590.598816	1331510.917204	
219.601648	392244.228977	112103.402666	116.562253	12.755347	81.944001	8.579220	43886239.949751	2599555.094650	219805.315019	143540.168116	18625114.048308	1998652.774261	26225591.545788	1331511.866031	
220.604396	392243.463403	112103.286400	108.544411	11.920141	76.671054	8.087883	43886253.930345	2599556.354003	219805.390787	143540.351573	18625114.048308	1998652.774261	26225592.427628	1331512.749555	
221.607143	392242.750810	112103.178124	101.095340	11.140627	71.740859	7.624725	43886266.951801	2599557.533774	219805.461191	143540.522751	18625114.048308	1998652.774261	26225593.248498	1331513.571952	
