Time	S1	S2	I1	I2	Y1	Y2	R1	R2	D1	D2	V1	V2	NewI	NewY
127.348901	438376.646436	209542.677294	97612.136360	12606.815476	32189.418471	1498.851462	43721336.416722	2368064.035438	208973.382011	263507.620330	19737181.932493	1266424.975997	25702179.767780	1293887.667745	
128.351648	437762.598787	209385.030200	90932.312237	11826.175484	30386.513152	1425.732725	43730370.275130	2368894.526905	209036.300693	263688.534687	19737181.932493	1266424.975997	25702951.462523	1294520.278073	
129.354396	437191.413989	209238.150688	84724.947342	11093.629129	28676.201773	1355.827128	43738800.662812	2369674.293245	209094.774084	263858.099810	19737181.932493	1266424.975997	25703669.526833	1295109.946513	
130.357143	436659.504982	209101.181004	78951.134351	10406.084977	27055.116420	1289.041917	43746673.075496	2370406.614946	209149.168751	264017.077155	19737181.932493	1266424.975997	25704338.405524	1295659.985058	
131.359890	436163.362848	208973.284287	73572.697998	9760.579100	25520.322366	1225.294398	43754031.772518	2371094.642648	209199.844270	264166.199567	19737181.932493	1266424.975997	25704962.444375	1296173.625730	
132.362637	435699.556809	208853.644572	68552.195067	9154.275076	24069.318076	1164.511937	43760919.776816	2371741.397141	209247.153231	264306.171273	19737181.932493	1266424.975997	25705545.890128	1296654.020574	
133.365385	435264.734230	208741.466790	63852.914400	8584.463992	22700.035199	1106.631961	43767378.874937	2372349.769368	209291.441234	264437.667890	19737181.932493	1266424.975997	25706092.890490	1297104.241662	
134.368132	434857.107849	208636.278951	59453.682513	8048.821921	21407.527181	1051.517548	43773436.776113	2372922.153073	209332.906343	264561.228506	19737181.932493	1266424.975997	25706605.704710	1297526.259576	
135.370879	434476.240294	208537.908077	55348.119713	7545.633792	20185.232754	998.982696	43779106.799874	2373460.258270	209371.607365	264677.217165	19737181.932493	1266424.975997	25707084.943138	1297920.931425	
136.373626	434120.723034	208445.996892	51520.892232	7073.215492	19029.490902	948.911900	43784409.205110	2373965.848245	209407.688722	264786.027471	19737181.932493	1266424.975997	25707532.371584	1298289.682819	
137.376374	433789.169893	208360.194317	47956.862048	6629.927914	17936.810807	901.194694	43789363.864296	2374440.639913	209441.292955	264888.043162	19737181.932493	1266424.975997	25707949.727299	1298633.915163	
138.379121	433480.217623	208280.155588	44641.092362	6214.177017	16903.870476	855.725616	43793990.258865	2374886.303716	209472.560674	264983.638063	19737181.932493	1266424.975997	25708338.718299	1298955.005276	
139.381868	433192.525896	208205.542253	41558.847596	5824.413829	15927.516751	812.404208	43798307.479205	2375304.463614	209501.630552	265073.176096	19737181.932493	1266424.975997	25708701.023361	1299254.305402	
140.384615	432924.777310	208136.022172	38695.593396	5459.134446	15004.765299	771.135017	43802334.224664	2375696.697091	209528.639331	265157.011274	19737181.932493	1266424.975997	25709038.292027	1299533.143203	
141.387363	432675.677389	208071.269519	36036.996629	5116.880032	14132.800620	731.827594	43806088.803545	2376064.535150	209553.721818	265235.487705	19737181.932493	1266424.975997	25709352.144603	1299792.821762	
142.390110	432443.954577	208010.964777	33568.925385	4796.236819	13308.976042	694.396495	43809589.133109	2376409.462320	209577.010888	265308.939589	19737181.932493	1266424.975997	25709644.172156	1300034.619582	
143.392857	432228.360245	207954.794747	31277.448977	4495.836109	12530.813724	658.761278	43812852.739574	2376732.916647	209598.637480	265377.691219	19737181.932493	1266424.975997	25709915.936518	1300259.790584	
144.395604	432027.668687	207902.452538	29148.837941	4214.354269	11796.004655	624.846508	43815896.758116	2377036.289704	209618.730601	265442.056980	19737181.932493	1266424.975997	25710168.970284	1300469.564113	
145.398352	431840.677122	207853.637575	27169.564033	3950.512736	11102.408652	592.581754	43818737.932868	2377320.926581	209637.417325	265502.341354	19737181.932493	1266424.975997	25710404.776813	1300665.144930	
146.401099	431666.205691	207808.055593	25326.300235	3703.078016	10448.054363	561.901587	43821392.616919	2377588.125894	209654.822792	265558.838911	19737181.932493	1266424.975997	25710624.830226	1300847.713220	
147.403846	431503.097462	207765.418641	23605.920750	3470.861680	9831.139265	532.745585	43823876.772316	2377839.139777	209671.070208	265611.834318	19737181.932493	1266424.975997	25710830.575407	1301018.424585	
148.406593	431350.218424	207725.445080	21995.501001	3252.720369	9250.029667	505.058328	43826205.970064	2378075.173889	209686.280845	265661.602333	19737181.932493	1266424.975997	25711023.428006	1301178.410049	
149.409341	431206.688093	207687.912051	20485.087940	3047.656203	8702.873001	478.776771	43828392.802809	2378297.276644	209700.548156	265708.378332	19737181.932493	1266424.975997	25711204.491365	1301328.570840	
150.412088	431072.424430	207652.782155	19074.302501	2855.111173	8186.950044	453.806944	43830440.446905	2378506.022613	209713.876119	265752.277116	19737181.932493	1266424.975997	25711373.884926	1301469.074810	
151.414835	430946.990468	207619.940880	17758.516871	2674.457202	7700.561111	430.085646	43832355.623126	2378702.074404	209726.308424	265793.441868	19737181.932493	1266424.975997	25711532.160162	1301600.382646	
152.417582	430829.914110	207589.266202	16532.654683	2505.065691	7242.150064	407.554518	43834145.388210	2378886.096272	209737.892933	265832.017317	19737181.932493	1266424.975997	25711679.911198	1301722.984241	
153.420330	430720.730985	207560.638226	15391.704302	2346.323834	6810.220963	386.157411	43835816.666866	2379058.735791	209748.676884	265868.144739	19737181.932493	1266424.975997	25711817.722299	1301837.361272	
154.423077	430618.984457	207533.939187	14330.718823	2197.634615	6403.338054	365.840393	43837376.251778	2379220.623853	209758.706889	265901.961951	19737181.932493	1266424.975997	25711946.167866	1301943.987201	
155.425824	430524.225620	207509.053452	13344.816067	2058.416814	6020.125779	346.551745	43838830.803600	2379372.374671	209768.028934	265933.603318	19737181.932493	1266424.975997	25712065.812438	1302043.327272	
156.428571	430436.013300	207485.867517	12429.178587	1928.105000	5659.268771	328.241961	43840186.850960	2379514.585776	209776.688382	265963.199746	19737181.932493	1266424.975997	25712177.210693	1302135.838516	
157.431319	430353.914054	207464.270009	11579.053663	1806.149537	5319.511853	310.863748	43841450.790459	2379647.838018	209784.729971	265990.878688	19737181.932493	1266424.975997	25712280.907447	1302221.969745	
158.434066	430277.502171	207444.151684	10789.753305	1692.016580	4999.660044	294.372030	43842628.886667	2379772.695567	209792.197812	266016.764139	19737181.932493	1266424.975997	25712377.437655	1302302.161558	
159.436813	430206.359672	207425.405432	10056.654253	1585.188078	4698.578553	278.723941	43843727.272130	2379889.705911	209799.135392	266040.976638	19737181.932493	1266424.975997	25712467.326407	1302376.846336	
160.439560	430140.076308	207407.926269	9375.197976	1485.161771	4415.192779	263.878830	43844751.947365	2379999.399858	209805.585573	266063.633272	19737181.932493	1266424.975997	25712551.088934	1302446.448244	
161.442308	430078.249562	207391.611344	8740.890669	1391.451193	4148.488316	249.798262	43845708.780861	2380102.291534	209811.590592	266084.847667	19737181.932493	1266424.975997	25712629.230604	1302511.383232	
162.445055	430020.484651	207376.359936	8149.303261	1303.585668	3897.510949	236.446013	43846603.509079	2380198.878386	209817.192060	266104.729997	19737181.932493	1266424.975997	25712702.246923	1302572.059036	
163.447802	429966.394519	207362.073455	7596.071407	1221.110315	3661.366656	223.788073	43847441.736453	2380289.641179	209822.430965	266123.386979	19737181.932493	1266424.975997	25712770.623536	1302628.875171	
164.450549	429915.611112	207348.658146	7077.037625	1143.593444	3439.212859	211.792190	43848228.792059	2380375.036295	209827.346344	266140.919925	19737181.932493	1266424.975997	25712834.822251	1302682.211809	
165.453297	429868.033004	207336.084920	6591.358155	1070.799344	3230.124019	200.419673	43848966.538470	2380455.316170	209831.946352	266157.379892	19737181.932493	1266424.975997	25712894.973586	1302732.183585	
166.456044	429823.558807	207324.325676	6138.125338	1002.524457	3033.360717	189.638139	43849656.715446	2380530.700179	209836.239692	266172.811548	19737181.932493	1266424.975997	25712951.207028	1302778.901055	
167.458791	429782.024822	207313.337559	5715.627099	938.531813	2848.276345	179.419465	43850301.829189	2380601.442317	209840.242545	266187.268846	19737181.932493	1266424.975997	25713003.729129	1302822.535630	
168.461538	429743.270124	207303.078475	5322.174433	878.590087	2674.245522	169.736472	43850904.339052	2380667.790460	209843.970869	266200.804506	19737181.932493	1266424.975997	25713052.742911	1302863.255799	
169.464286	429707.136553	207293.507092	4956.101406	822.473594	2510.664099	160.562932	43851466.657542	2380729.986371	209847.440399	266213.470011	19737181.932493	1266424.975997	25713098.447864	1302901.227125	
170.467033	429673.468720	207284.582841	4615.765155	769.962297	2356.949156	151.873558	43851991.150320	2380788.265694	209850.666648	266225.315610	19737181.932493	1266424.975997	25713141.039949	1302936.612247	
171.469780	429642.114005	207276.265913	4299.545890	720.841796	2212.539001	143.644014	43852480.136200	2380842.857958	209853.664904	266236.390318	19737181.932493	1266424.975997	25713180.711592	1302969.570882	
172.472527	429612.922556	207268.517263	4005.846890	674.903340	2076.893171	135.850909	43852935.887149	2380893.986574	209856.450234	266246.741913	19737181.932493	1266424.975997	25713217.651691	1303000.259820	
173.475275	429585.747290	207261.298608	3733.094507	631.943816	1949.492432	128.471797	43853360.628288	2380941.868839	209859.037482	266256.416940	19737181.932493	1266424.975997	25713252.045613	1303028.832931	
174.478022	429560.443894	207254.572424	3479.738164	591.765757	1829.838782	121.485180	43853756.537892	2380986.715930	209861.441268	266265.460709	19737181.932493	1266424.975997	25713284.075192	1303055.441158	
175.480769	429536.870824	207248.301953	3244.250354	554.177338	1717.455444	114.870505	43854125.747389	2381028.732912	209863.675989	266273.917292	19737181.932493	1266424.975997	25713313.918732	1303080.232521	
176.483516	429514.889305	207242.451197	3025.126643	518.992378	1611.886873	108.608167	43854470.341359	2381068.118729	209865.755820	266281.829529	19737181.932493	1266424.975997	25713341.751007	1303103.352117	
177.486264	429494.363330	207236.984920	2820.885666	486.030336	1512.698753	102.679507	43854792.357538	2381105.066212	209867.694714	266289.239025	19737181.932493	1266424.975997	25713367.743259	1303124.942119	
178.489011	429475.159662	207231.868649	2630.069131	455.116318	1419.477995	97.066810	43855093.786813	2381139.762073	209869.506398	266296.186149	19737181.932493	1266424.975997	25713392.063199	1303145.141774	
179.491758	429457.147833	207227.068671	2451.241818	426.081070	1331.832742	91.753312	43855376.573227	2381172.386911	209871.204380	266302.710035	19737181.932493	1266424.975997	25713414.875006	1303164.087407	
180.494505	429440.249780	207222.564342	2283.607290	398.804133	1249.411732	86.722638	43855641.934997	2381203.070997	209872.796202	266308.837891	19737181.932493	1266424.975997	25713436.277388	1303181.861305	
181.497253	429424.447998	207218.350243	2127.093449	373.226389	1171.940530	81.960053	43855890.235385	2381231.881157	209874.282638	266314.582158	19737181.932493	1266424.975997	25713456.293268	1303198.482952	
182.500000	429409.685393	207214.411277	1981.121263	349.259471	1099.160750	77.452673	43856122.363419	2381258.913791	209875.669174	266319.962787	19737181.932493	1266424.975997	25713474.994840	1303214.012337	
